类别,食物,每份重量,蛋白质（g）,碳水（g）,脂肪（g）,备注
蛋白质,鸡蛋,1个,6,-,5,-
蛋白质 / 碳水,牛奶,250ml,9,12,9,-
蛋白质,瘦肉,100g,25,-,-,-
蛋白质,牛肉,100g,30,-,-,-
蛋白质,三文鱼,100g,25,-,-,-
蛋白质,小鸡腿,100g,20,-,-,-
碳水,蓝莓,1盒,-,15,-,-
碳水,苹果 / 橙子 / 香蕉,1个,-,20-30,-,-
碳水,吐司切片面包,1片,-,25,-,-
碳水,燕麦,40g,-,27,-,-
碳水,米饭,100g（熟）,-,25,-,-
坚果,核桃,2颗,-,-,10,Omega-6:Omega-3=4.2:1（推荐）
坚果,开心果,8颗,-,-,10,-
坚果,碧根果,2颗,-,-,10,-
